Job Title,Salary,Location
"Senior Software Engineer, CCS5 (COBOL)","7K - 10,000 monthly",Selangor
Senior Software Programmer,,Kuala Lumpur
Software Engineer,,Petaling Jaya
Back-end Developer (Artificial Intelligence Project),"6.5K - 10,000 monthly",Kuala Lumpur
SQL Programmer,"3.8K - 6,500 monthly",Kuala Lumpur
Software Engineer (Development),"3.5K - 7,000 monthly",Melaka
Software Engineer,,"Selangor, Kuala Lumpur"
Python Developer,"6.5K - 9,100 monthly",Kuala Lumpur
Embedded Linux Software Engineer,"7K - 14,000 monthly",Penang
Backend Developer,"4K - 6,000 monthly",Kuala Lumpur
Data Scientist (Fintech),"10K - 12,000 monthly",Kuala Lumpur
Analyst Programmer,"3.5K - 6,500 monthly",Shah Alam/Subang
SOFTWARE ENGINEERS,"4K - 6,000 monthly",Kuala Lumpur
SENIOR ENGINEER - FIRMWARE / EMBEDDED SOFTWARE,,Cyberjaya
Software Engineer (CRM/ Trading Platform),"3.5K - 6,500 monthly",Kuala Lumpur
Data Scientist,"5.5K - 11,000 monthly",Kuala Lumpur
Azure Data Engineer,,Kuala Lumpur
System Support Engineer (Software Developer),"5K - 8,000 monthly",Kuala Lumpur
Software Engineer,,Kuala Lumpur
Web Developer (Python),"6K - 8,000 monthly",Kuala Lumpur
AI Scientist,"4.4K - 8,000 monthly",Kuala Lumpur
Senior Software Developer,"6K - 10,000 monthly",Kuala Lumpur
SoC Software Engineer,,Kuala Lumpur
System Programmer,"5K - 7,000 monthly",Petaling Jaya
AIOps Engineer,"4K - 5,600 monthly",Shah Alam/Subang
Software Developer,,Petaling Jaya
Cloud Developer,,Kuala Lumpur
Software Engineer,"3K - 4,500 monthly",Shah Alam/Subang
Software Developer,,Johor
Senior Software Engineer,,Bayan Lepas
"Senior Software Engineer, CCS5 (COBOL)","7K - 10,000 monthly",Selangor
Senior Software Programmer,,Kuala Lumpur
Software Engineer,,Petaling Jaya
SQL Programmer,"3.8K - 6,500 monthly",Kuala Lumpur
Back-end Developer (Artificial Intelligence Project),"6.5K - 10,000 monthly",Kuala Lumpur
Software Engineer (Development),"3.5K - 7,000 monthly",Melaka
Software Engineer,,"Selangor, Kuala Lumpur"
Python Developer,"6.5K - 9,100 monthly",Kuala Lumpur
Embedded Linux Software Engineer,"7K - 14,000 monthly",Penang
Backend Developer,"4K - 6,000 monthly",Kuala Lumpur
Data Scientist (Fintech),"10K - 12,000 monthly",Kuala Lumpur
Analyst Programmer,"3.5K - 6,500 monthly",Shah Alam/Subang
SOFTWARE ENGINEERS,"4K - 6,000 monthly",Kuala Lumpur
SENIOR ENGINEER - FIRMWARE / EMBEDDED SOFTWARE,,Cyberjaya
Software Engineer (CRM/ Trading Platform),"3.5K - 6,500 monthly",Kuala Lumpur
Data Scientist,"5.5K - 11,000 monthly",Kuala Lumpur
Azure Data Engineer,,Kuala Lumpur
System Support Engineer (Software Developer),"5K - 8,000 monthly",Kuala Lumpur
Software Engineer,,Kuala Lumpur
Web Developer (Python),"6K - 8,000 monthly",Kuala Lumpur
AI Scientist,"4.4K - 8,000 monthly",Kuala Lumpur
Senior Software Developer,"6K - 10,000 monthly",Kuala Lumpur
SoC Software Engineer,,Kuala Lumpur
System Programmer,"5K - 7,000 monthly",Petaling Jaya
AIOps Engineer,"4K - 5,600 monthly",Shah Alam/Subang
Software Developer,,Petaling Jaya
Cloud Developer,,Kuala Lumpur
Software Engineer,"3K - 4,500 monthly",Shah Alam/Subang
Software Developer,,Johor
Senior Software Engineer,,Bayan Lepas
"Senior Software Engineer, CCS5 (COBOL)","7K - 10,000 monthly",Selangor
Senior Software Programmer,,Kuala Lumpur
Software Engineer,,Petaling Jaya
SQL Programmer,"3.8K - 6,500 monthly",Kuala Lumpur
Back-end Developer (Artificial Intelligence Project),"6.5K - 10,000 monthly",Kuala Lumpur
Software Engineer (Development),"3.5K - 7,000 monthly",Melaka
Software Engineer,,"Selangor, Kuala Lumpur"
Python Developer,"6.5K - 9,100 monthly",Kuala Lumpur
Embedded Linux Software Engineer,"7K - 14,000 monthly",Penang
Backend Developer,"4K - 6,000 monthly",Kuala Lumpur
Data Scientist (Fintech),"10K - 12,000 monthly",Kuala Lumpur
Analyst Programmer,"3.5K - 6,500 monthly",Shah Alam/Subang
SOFTWARE ENGINEERS,"4K - 6,000 monthly",Kuala Lumpur
SENIOR ENGINEER - FIRMWARE / EMBEDDED SOFTWARE,,Cyberjaya
Software Engineer (CRM/ Trading Platform),"3.5K - 6,500 monthly",Kuala Lumpur
Data Scientist,"5.5K - 11,000 monthly",Kuala Lumpur
Azure Data Engineer,,Kuala Lumpur
System Support Engineer (Software Developer),"5K - 8,000 monthly",Kuala Lumpur
Software Engineer,,Kuala Lumpur
Web Developer (Python),"6K - 8,000 monthly",Kuala Lumpur
AI Scientist,"4.4K - 8,000 monthly",Kuala Lumpur
Senior Software Developer,"6K - 10,000 monthly",Kuala Lumpur
SoC Software Engineer,,Kuala Lumpur
System Programmer,"5K - 7,000 monthly",Petaling Jaya
AIOps Engineer,"4K - 5,600 monthly",Shah Alam/Subang
Software Developer,,Petaling Jaya
Cloud Developer,,Kuala Lumpur
Software Engineer,"3K - 4,500 monthly",Shah Alam/Subang
Software Developer,,Johor
Senior Software Engineer,,Bayan Lepas
"Senior Software Engineer, CCS5 (COBOL)","7K - 10,000 monthly",Selangor
Senior Software Programmer,,Kuala Lumpur
Software Engineer,,Petaling Jaya
SQL Programmer,"3.8K - 6,500 monthly",Kuala Lumpur
Back-end Developer (Artificial Intelligence Project),"6.5K - 10,000 monthly",Kuala Lumpur
Software Engineer (Development),"3.5K - 7,000 monthly",Melaka
Software Engineer,,"Selangor, Kuala Lumpur"
Python Developer,"6.5K - 9,100 monthly",Kuala Lumpur
Embedded Linux Software Engineer,"7K - 14,000 monthly",Penang
Backend Developer,"4K - 6,000 monthly",Kuala Lumpur
Data Scientist (Fintech),"10K - 12,000 monthly",Kuala Lumpur
Analyst Programmer,"3.5K - 6,500 monthly",Shah Alam/Subang
SOFTWARE ENGINEERS,"4K - 6,000 monthly",Kuala Lumpur
SENIOR ENGINEER - FIRMWARE / EMBEDDED SOFTWARE,,Cyberjaya
Software Engineer (CRM/ Trading Platform),"3.5K - 6,500 monthly",Kuala Lumpur
Data Scientist,"5.5K - 11,000 monthly",Kuala Lumpur
Azure Data Engineer,,Kuala Lumpur
System Support Engineer (Software Developer),"5K - 8,000 monthly",Kuala Lumpur
Software Engineer,,Kuala Lumpur
Web Developer (Python),"6K - 8,000 monthly",Kuala Lumpur
AI Scientist,"4.4K - 8,000 monthly",Kuala Lumpur
Senior Software Developer,"6K - 10,000 monthly",Kuala Lumpur
SoC Software Engineer,,Kuala Lumpur
System Programmer,"5K - 7,000 monthly",Petaling Jaya
AIOps Engineer,"4K - 5,600 monthly",Shah Alam/Subang
Software Developer,,Petaling Jaya
Cloud Developer,,Kuala Lumpur
Software Engineer,"3K - 4,500 monthly",Shah Alam/Subang
Software Developer,,Johor
Senior Software Engineer,,Bayan Lepas
"Senior Software Engineer, CCS5 (COBOL)","7K - 10,000 monthly",Selangor
Senior Software Programmer,,Kuala Lumpur
Software Engineer,,Petaling Jaya
SQL Programmer,"3.8K - 6,500 monthly",Kuala Lumpur
Back-end Developer (Artificial Intelligence Project),"6.5K - 10,000 monthly",Kuala Lumpur
Software Engineer (Development),"3.5K - 7,000 monthly",Melaka
Software Engineer,,"Selangor, Kuala Lumpur"
Python Developer,"6.5K - 9,100 monthly",Kuala Lumpur
Embedded Linux Software Engineer,"7K - 14,000 monthly",Penang
Backend Developer,"4K - 6,000 monthly",Kuala Lumpur
Data Scientist (Fintech),"10K - 12,000 monthly",Kuala Lumpur
Analyst Programmer,"3.5K - 6,500 monthly",Shah Alam/Subang
SOFTWARE ENGINEERS,"4K - 6,000 monthly",Kuala Lumpur
SENIOR ENGINEER - FIRMWARE / EMBEDDED SOFTWARE,,Cyberjaya
Software Engineer (CRM/ Trading Platform),"3.5K - 6,500 monthly",Kuala Lumpur
Data Scientist,"5.5K - 11,000 monthly",Kuala Lumpur
Azure Data Engineer,,Kuala Lumpur
System Support Engineer (Software Developer),"5K - 8,000 monthly",Kuala Lumpur
Software Engineer,,Kuala Lumpur
Web Developer (Python),"6K - 8,000 monthly",Kuala Lumpur
AI Scientist,"4.4K - 8,000 monthly",Kuala Lumpur
Senior Software Developer,"6K - 10,000 monthly",Kuala Lumpur
SoC Software Engineer,,Kuala Lumpur
System Programmer,"5K - 7,000 monthly",Petaling Jaya
AIOps Engineer,"4K - 5,600 monthly",Shah Alam/Subang
Software Developer,,Petaling Jaya
Cloud Developer,,Kuala Lumpur
Software Engineer,"3K - 4,500 monthly",Shah Alam/Subang
Software Developer,,Johor
Senior Software Engineer,,Bayan Lepas
"Senior Software Engineer, CCS5 (COBOL)","7K - 10,000 monthly",Selangor
Senior Software Programmer,,Kuala Lumpur
Software Engineer,,Petaling Jaya
SQL Programmer,"3.8K - 6,500 monthly",Kuala Lumpur
Back-end Developer (Artificial Intelligence Project),"6.5K - 10,000 monthly",Kuala Lumpur
Software Engineer (Development),"3.5K - 7,000 monthly",Melaka
Software Engineer,,"Selangor, Kuala Lumpur"
Python Developer,"6.5K - 9,100 monthly",Kuala Lumpur
Embedded Linux Software Engineer,"7K - 14,000 monthly",Penang
Backend Developer,"4K - 6,000 monthly",Kuala Lumpur
Data Scientist (Fintech),"10K - 12,000 monthly",Kuala Lumpur
Analyst Programmer,"3.5K - 6,500 monthly",Shah Alam/Subang
SOFTWARE ENGINEERS,"4K - 6,000 monthly",Kuala Lumpur
SENIOR ENGINEER - FIRMWARE / EMBEDDED SOFTWARE,,Cyberjaya
Software Engineer (CRM/ Trading Platform),"3.5K - 6,500 monthly",Kuala Lumpur
Data Scientist,"5.5K - 11,000 monthly",Kuala Lumpur
Azure Data Engineer,,Kuala Lumpur
System Support Engineer (Software Developer),"5K - 8,000 monthly",Kuala Lumpur
Software Engineer,,Kuala Lumpur
Web Developer (Python),"6K - 8,000 monthly",Kuala Lumpur
AI Scientist,"4.4K - 8,000 monthly",Kuala Lumpur
Senior Software Developer,"6K - 10,000 monthly",Kuala Lumpur
SoC Software Engineer,,Kuala Lumpur
System Programmer,"5K - 7,000 monthly",Petaling Jaya
AIOps Engineer,"4K - 5,600 monthly",Shah Alam/Subang
Software Developer,,Petaling Jaya
Cloud Developer,,Kuala Lumpur
Software Engineer,"3K - 4,500 monthly",Shah Alam/Subang
Software Developer,,Johor
Senior Software Engineer,,Bayan Lepas
"Senior Software Engineer, CCS5 (COBOL)","7K - 10,000 monthly",Selangor
Senior Software Programmer,,Kuala Lumpur
Software Engineer,,Petaling Jaya
SQL Programmer,"3.8K - 6,500 monthly",Kuala Lumpur
Back-end Developer (Artificial Intelligence Project),"6.5K - 10,000 monthly",Kuala Lumpur
Software Engineer (Development),"3.5K - 7,000 monthly",Melaka
Software Engineer,,"Selangor, Kuala Lumpur"
Python Developer,"6.5K - 9,100 monthly",Kuala Lumpur
Embedded Linux Software Engineer,"7K - 14,000 monthly",Penang
Backend Developer,"4K - 6,000 monthly",Kuala Lumpur
Data Scientist (Fintech),"10K - 12,000 monthly",Kuala Lumpur
Analyst Programmer,"3.5K - 6,500 monthly",Shah Alam/Subang
SOFTWARE ENGINEERS,"4K - 6,000 monthly",Kuala Lumpur
SENIOR ENGINEER - FIRMWARE / EMBEDDED SOFTWARE,,Cyberjaya
Software Engineer (CRM/ Trading Platform),"3.5K - 6,500 monthly",Kuala Lumpur
Data Scientist,"5.5K - 11,000 monthly",Kuala Lumpur
Azure Data Engineer,,Kuala Lumpur
System Support Engineer (Software Developer),"5K - 8,000 monthly",Kuala Lumpur
Software Engineer,,Kuala Lumpur
Web Developer (Python),"6K - 8,000 monthly",Kuala Lumpur
AI Scientist,"4.4K - 8,000 monthly",Kuala Lumpur
Senior Software Developer,"6K - 10,000 monthly",Kuala Lumpur
SoC Software Engineer,,Kuala Lumpur
System Programmer,"5K - 7,000 monthly",Petaling Jaya
AIOps Engineer,"4K - 5,600 monthly",Shah Alam/Subang
Software Developer,,Petaling Jaya
Cloud Developer,,Kuala Lumpur
Software Engineer,"3K - 4,500 monthly",Shah Alam/Subang
Software Developer,,Johor
Senior Software Engineer,,Bayan Lepas
"Senior Software Engineer, CCS5 (COBOL)","7K - 10,000 monthly",Selangor
Senior Software Programmer,,Kuala Lumpur
Software Engineer,,Petaling Jaya
SQL Programmer,"3.8K - 6,500 monthly",Kuala Lumpur
Back-end Developer (Artificial Intelligence Project),"6.5K - 10,000 monthly",Kuala Lumpur
Software Engineer (Development),"3.5K - 7,000 monthly",Melaka
Software Engineer,,"Selangor, Kuala Lumpur"
Python Developer,"6.5K - 9,100 monthly",Kuala Lumpur
Embedded Linux Software Engineer,"7K - 14,000 monthly",Penang
Backend Developer,"4K - 6,000 monthly",Kuala Lumpur
Data Scientist (Fintech),"10K - 12,000 monthly",Kuala Lumpur
Analyst Programmer,"3.5K - 6,500 monthly",Shah Alam/Subang
SOFTWARE ENGINEERS,"4K - 6,000 monthly",Kuala Lumpur
SENIOR ENGINEER - FIRMWARE / EMBEDDED SOFTWARE,,Cyberjaya
Software Engineer (CRM/ Trading Platform),"3.5K - 6,500 monthly",Kuala Lumpur
Python Developer with Min 2 years Experience (Malaysian),,Petaling Jaya
Senior Python Developer,,Kuala Lumpur
Data Scientist / AI Engineer,,Kuching
Python -Odoo Developer,,Kuala Lumpur
Backend Python Developer,,Kuala Lumpur
Python Developer (Remote),,Johor Bahru
SoC Software Engineer,,Kuala Lumpur
Software Engineer,,Kuala Lumpur
Software engineer - Machine Learning,,Kuala Lumpur
System Programmer,"5K - 7,000 monthly",Petaling Jaya
"Manager, DM - Regional Data Science COE MY",,Malaysia
Software Engineer,,Subang Jaya
"SOFTWARE PROGRAMMER (BAYU PERDANA, KLANG) 5 DAYS WORK 4,000.00 – 6,000.00",,"Shah Alam/Subang, Shah Alam/Subang"
Software Developer,,Petaling Jaya
Data Scientist,"5.5K - 11,000 monthly",Kuala Lumpur
Software Engineer C++,,Petaling Jaya
Data Engineer,,Subang Jaya
Data Engineer (Malaysia),,Kuala Lumpur
Cloud Developer,,Kuala Lumpur
Azure Data Engineer,,Kuala Lumpur
SP 12B Data Democratization - Data Engineer,,Kuala Lumpur
Software Developer,,Johor
Software Engineer,,Kuala Lumpur
System Support Engineer (Software Developer),"5K - 8,000 monthly",Kuala Lumpur
Senior Software Engineer,,Bayan Lepas
Data Science Intern to Perm Program,,Kuala Lumpur
DATA ENGINEER,,Petaling Jaya
"Senior Software Engineer, CCS5 (COBOL)","7K - 10,000 monthly",Selangor
Software Developer,,"Kajang/Bangi/Serdang, Kajang/Bangi/Serdang, Kajang/Bangi/Serdang"
Software Developer,,"Kajang/Bangi/Serdang, Kajang/Bangi/Serdang, Kajang/Bangi/Serdang"
Data Scientist,"5.5K - 11,000 monthly",Kuala Lumpur
Azure Data Engineer,,Kuala Lumpur
System Support Engineer (Software Developer),"5K - 8,000 monthly",Kuala Lumpur
Software Engineer,,Kuala Lumpur
Web Developer (Python),"6K - 8,000 monthly",Kuala Lumpur
AI Scientist,"4.4K - 8,000 monthly",Kuala Lumpur
Senior Software Developer,"6K - 10,000 monthly",Kuala Lumpur
SoC Software Engineer,,Kuala Lumpur
System Programmer,"5K - 7,000 monthly",Petaling Jaya
AIOps Engineer,"4K - 5,600 monthly",Shah Alam/Subang
Software Developer,,Petaling Jaya
Cloud Developer,,Kuala Lumpur
Software Engineer,"3K - 4,500 monthly",Shah Alam/Subang
Software Developer,,Johor
Senior Software Engineer,,Bayan Lepas
"Senior Software Engineer, CCS5 (COBOL)","7K - 10,000 monthly",Selangor
Senior Software Programmer,,Kuala Lumpur
Software Engineer,,Petaling Jaya
SQL Programmer,"3.8K - 6,500 monthly",Kuala Lumpur
Back-end Developer (Artificial Intelligence Project),"6.5K - 10,000 monthly",Kuala Lumpur
Software Engineer (Development),"3.5K - 7,000 monthly",Melaka
Software Engineer,,"Selangor, Kuala Lumpur"
Python Developer,"6.5K - 9,100 monthly",Kuala Lumpur
Embedded Linux Software Engineer,"7K - 14,000 monthly",Penang
Backend Developer,"4K - 6,000 monthly",Kuala Lumpur
Data Scientist (Fintech),"10K - 12,000 monthly",Kuala Lumpur
Analyst Programmer,"3.5K - 6,500 monthly",Shah Alam/Subang
SOFTWARE ENGINEERS,"4K - 6,000 monthly",Kuala Lumpur
SENIOR ENGINEER - FIRMWARE / EMBEDDED SOFTWARE,,Cyberjaya
Software Engineer (CRM/ Trading Platform),"3.5K - 6,500 monthly",Kuala Lumpur
Data Scientist,"5.5K - 11,000 monthly",Kuala Lumpur
Azure Data Engineer,,Kuala Lumpur
System Support Engineer (Software Developer),"5K - 8,000 monthly",Kuala Lumpur
Software Engineer,,Kuala Lumpur
Web Developer (Python),"6K - 8,000 monthly",Kuala Lumpur
AI Scientist,"4.4K - 8,000 monthly",Kuala Lumpur
Senior Software Developer,"6K - 10,000 monthly",Kuala Lumpur
SoC Software Engineer,,Kuala Lumpur
System Programmer,"5K - 7,000 monthly",Petaling Jaya
AIOps Engineer,"4K - 5,600 monthly",Shah Alam/Subang
Software Developer,,Petaling Jaya
Cloud Developer,,Kuala Lumpur
Software Engineer,"3K - 4,500 monthly",Shah Alam/Subang
Software Developer,,Johor
Senior Software Engineer,,Bayan Lepas
"Senior Software Engineer, CCS5 (COBOL)","7K - 10,000 monthly",Selangor
Senior Software Programmer,,Kuala Lumpur
Software Engineer,,Petaling Jaya
SQL Programmer,"3.8K - 6,500 monthly",Kuala Lumpur
Back-end Developer (Artificial Intelligence Project),"6.5K - 10,000 monthly",Kuala Lumpur
Software Engineer (Development),"3.5K - 7,000 monthly",Melaka
Software Engineer,,"Selangor, Kuala Lumpur"
Python Developer,"6.5K - 9,100 monthly",Kuala Lumpur
Embedded Linux Software Engineer,"7K - 14,000 monthly",Penang
Backend Developer,"4K - 6,000 monthly",Kuala Lumpur
Data Scientist (Fintech),"10K - 12,000 monthly",Kuala Lumpur
Analyst Programmer,"3.5K - 6,500 monthly",Shah Alam/Subang
SOFTWARE ENGINEERS,"4K - 6,000 monthly",Kuala Lumpur
SENIOR ENGINEER - FIRMWARE / EMBEDDED SOFTWARE,,Cyberjaya
Software Engineer (CRM/ Trading Platform),"3.5K - 6,500 monthly",Kuala Lumpur
Data Scientist,"5.5K - 11,000 monthly",Kuala Lumpur
Azure Data Engineer,,Kuala Lumpur
System Support Engineer (Software Developer),"5K - 8,000 monthly",Kuala Lumpur
Software Engineer,,Kuala Lumpur
Web Developer (Python),"6K - 8,000 monthly",Kuala Lumpur
AI Scientist,"4.4K - 8,000 monthly",Kuala Lumpur
Senior Software Developer,"6K - 10,000 monthly",Kuala Lumpur
SoC Software Engineer,,Kuala Lumpur
System Programmer,"5K - 7,000 monthly",Petaling Jaya
AIOps Engineer,"4K - 5,600 monthly",Shah Alam/Subang
Software Developer,,Petaling Jaya
Cloud Developer,,Kuala Lumpur
Software Engineer,"3K - 4,500 monthly",Shah Alam/Subang
Software Developer,,Johor
Senior Software Engineer,,Bayan Lepas
"Senior Software Engineer, CCS5 (COBOL)","7K - 10,000 monthly",Selangor
Senior Software Programmer,,Kuala Lumpur
Software Engineer,,Petaling Jaya
SQL Programmer,"3.8K - 6,500 monthly",Kuala Lumpur
Back-end Developer (Artificial Intelligence Project),"6.5K - 10,000 monthly",Kuala Lumpur
Software Engineer (Development),"3.5K - 7,000 monthly",Melaka
Software Engineer,,"Selangor, Kuala Lumpur"
Python Developer,"6.5K - 9,100 monthly",Kuala Lumpur
Embedded Linux Software Engineer,"7K - 14,000 monthly",Penang
Backend Developer,"4K - 6,000 monthly",Kuala Lumpur
Data Scientist (Fintech),"10K - 12,000 monthly",Kuala Lumpur
Analyst Programmer,"3.5K - 6,500 monthly",Shah Alam/Subang
SOFTWARE ENGINEERS,"4K - 6,000 monthly",Kuala Lumpur
SENIOR ENGINEER - FIRMWARE / EMBEDDED SOFTWARE,,Cyberjaya
Software Engineer (CRM/ Trading Platform),"3.5K - 6,500 monthly",Kuala Lumpur
Data Scientist,"5.5K - 11,000 monthly",Kuala Lumpur
Azure Data Engineer,,Kuala Lumpur
System Support Engineer (Software Developer),"5K - 8,000 monthly",Kuala Lumpur
Software Engineer,,Kuala Lumpur
Web Developer (Python),"6K - 8,000 monthly",Kuala Lumpur
AI Scientist,"4.4K - 8,000 monthly",Kuala Lumpur
Senior Software Developer,"6K - 10,000 monthly",Kuala Lumpur
SoC Software Engineer,,Kuala Lumpur
System Programmer,"5K - 7,000 monthly",Petaling Jaya
AIOps Engineer,"4K - 5,600 monthly",Shah Alam/Subang
Software Developer,,Petaling Jaya
Cloud Developer,,Kuala Lumpur
Software Engineer,"3K - 4,500 monthly",Shah Alam/Subang
Software Developer,,Johor
Senior Software Engineer,,Bayan Lepas
"Senior Software Engineer, CCS5 (COBOL)","7K - 10,000 monthly",Selangor
Senior Software Programmer,,Kuala Lumpur
Software Engineer,,Petaling Jaya
SQL Programmer,"3.8K - 6,500 monthly",Kuala Lumpur
Back-end Developer (Artificial Intelligence Project),"6.5K - 10,000 monthly",Kuala Lumpur
Software Engineer (Development),"3.5K - 7,000 monthly",Melaka
Software Engineer,,"Selangor, Kuala Lumpur"
Python Developer,"6.5K - 9,100 monthly",Kuala Lumpur
Embedded Linux Software Engineer,"7K - 14,000 monthly",Penang
Backend Developer,"4K - 6,000 monthly",Kuala Lumpur
Data Scientist (Fintech),"10K - 12,000 monthly",Kuala Lumpur
Analyst Programmer,"3.5K - 6,500 monthly",Shah Alam/Subang
SOFTWARE ENGINEERS,"4K - 6,000 monthly",Kuala Lumpur
SENIOR ENGINEER - FIRMWARE / EMBEDDED SOFTWARE,,Cyberjaya
Software Engineer (CRM/ Trading Platform),"3.5K - 6,500 monthly",Kuala Lumpur
Data Scientist,"5.5K - 11,000 monthly",Kuala Lumpur
Azure Data Engineer,,Kuala Lumpur
System Support Engineer (Software Developer),"5K - 8,000 monthly",Kuala Lumpur
Software Engineer,,Kuala Lumpur
Web Developer (Python),"6K - 8,000 monthly",Kuala Lumpur
AI Scientist,"4.4K - 8,000 monthly",Kuala Lumpur
Senior Software Developer,"6K - 10,000 monthly",Kuala Lumpur
SoC Software Engineer,,Kuala Lumpur
System Programmer,"5K - 7,000 monthly",Petaling Jaya
AIOps Engineer,"4K - 5,600 monthly",Shah Alam/Subang
Software Developer,,Petaling Jaya
Cloud Developer,,Kuala Lumpur
Software Engineer,"3K - 4,500 monthly",Shah Alam/Subang
Software Developer,,Johor
Senior Software Engineer,,Bayan Lepas
